keyword,videoId,title,channelTitle,publishedAt,views,score
minecraft,Vg0ACOc0nls,Los Tralaleritos Dicen Tralala Italian Brainrot Squid Game SONG CHALLENGE #minecraft #brainrot,LACKBIT,2025-09-08T04:30:31Z,17009319,1311569.977
marvel,oRVVjHeDYhE,Stan Lee on Superman vs Thor 🦸🔨,MoneyMoves,2025-09-08T17:29:52Z,10846810,870682.912
minecraft,KRQXszVub9E,"Minecraft, But you are a SECRET ASSASSIN...",dayta,2025-09-10T00:30:54Z,9602788,861730.498
marvel,h_7eB--BZew,Spiderman & Ironman Saves Doctor Strange 🔥❤️‍🩹 | Infinity War (Part-24) | #shorts #marvel,Aventrix YT,2025-09-08T06:00:38Z,10171610,787847.438
minecraft,QzgySShjIh4,POCOYO VA AL JUEGO DEL CALAMAR #shorts #minecraft  #smilingcritters  #minecraft,Dannika,2025-09-10T18:00:08Z,7941559,768843.944
marvel,SjXRMb3iYK0,Marvel Again Copied From Bollywood|Baaghi 4 😂,Moviate,2025-09-10T12:41:00Z,7848450,741570.101
minecraft,oE4uQ_8qlEU,this mod erases you from the world,Pandeh,2025-09-11T07:05:00Z,7133166,737254.236
minecraft,XYc0AQU4mB0,Lava boats,CheezyChez,2025-09-08T10:01:02Z,8869609,695409.024
minecraft,CBnTu-TFgeQ,Minecraft Steve in Jujutsu Shenanigans 32 #roblox #jjk #jujutsukaisen #anime #memes #shorts,StylishMilk,2025-09-08T19:30:01Z,6601322,533345.918
marvel,Ozw7ym8Tt7Q,This Was Marvel's Peak 🔥 | Avengers Infinity War | Song - AL NACER! #infinitywar #edit #shorts,Movie-Maven,2025-09-13T02:30:19Z,3735203,527237.985
minecraft,V3PSCQOPkBM,This Minecraft lantern is the best! Link in profile🇺🇸 #minecraft #minecraftlantern #nostalgia #usa,Minepix,2025-09-08T15:14:03Z,6112364,487105.348
minecraft,ehJxdvf3O7U,Teleport in the box 🏁 #shorts #minecraft #minecraftshorts,CheapPickle,2025-09-09T00:02:10Z,5863422,480900.988
minecraft,u3Su-7fKQuI,Sammy Admin in Minecraft Steal A Brainrot 😆 #roblox #shorts,FufiBlox,2025-09-08T04:10:02Z,5693140,438546.935
minecraft,TKD2FzFQXAQ,Prego no minecraft? 🤡 #shorts,zHardgg,2025-09-08T22:19:49Z,4903938,399918.921
marvel,3Q_o73TkU7Q,Scary Hulk cheats on Spidey and the ending 😱 | Marvel Toys | Marvel animation | zombie 🧟,GJ BHAI,2025-09-09T05:36:00Z,2562519,214217.438
marvel,l-swMPBTBJg,Сильнейший Халк в кино: этот результат удивит тебя! #marvel #shorts #hulk,MClovin,2025-09-08T15:30:36Z,2655049,211771.226
marvel,UNwZhzkxn20,Purple Hero Saves Orphaned Girl #marvel,Movie Shortz,2025-09-10T11:30:26Z,2099137,197306.305
marvel,qTvKZbHHpNM,"Marvel Animation's Marvel Zombies - Official Trailer #2 (2025) Elizabeth Olsen, Paul Rudd",IGN,2025-09-12T16:45:18Z,1471446,190057.87
marvel,CxzFbh77hl0,This is crazy…,Marvelous Refrigerator,2025-09-09T11:19:32Z,1810757,154495.224
marvel,H5UgweXEQ-M,🤔EL DETALLE MÁS HUMILLANTE DE MARVEL #disney #marvel,JWulen,2025-09-10T19:00:13Z,1430171,139113.125
